keyword,seed_product,category,intent,difficulty_observed,priority_score,source,serp_evidence_note
vitamin d3 vs b12,vitamin d3,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
vitamin d3 vs calcitriol,vitamin d3,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
b complex vs b1,b complex,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
b complex vs b100,b complex,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
omega 3 fish oil vs algae,omega-3 fish oil,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
omega 3 fish oil vs cod liver oil,omega-3 fish oil,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
probiotic vs digestive enzymes,probiotic,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
probiotic vs fiber,probiotic,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
lemon balm vs ashwagandha,lemon balm,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
lemon balm vs bee balm,lemon balm,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
glycine vs b12,glycine,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
glycine vs collagen,glycine,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
valerian root vs ashwagandha for sleep,valerian root,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
valerian root vs catnip,valerian root,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
passionflower vs chamomile,passionflower,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
passionflower vs chamomile for sleep,passionflower,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
silexan vs lavender,lavender silexan,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
silexan vs lavender oil,lavender silexan,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
l tryptophan vs 5 htp for anxiety,l-tryptophan,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
l tryptophan vs d tryptophan,l-tryptophan,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
glycine vs taurine for anxiety,taurine,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
taurine vs caffeine,taurine,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
ashwagandha vs holy basil for stress,holy basil,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
holy basil vs ashwagandha,holy basil,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
l-tyrosine vs ashwagandha,l-tyrosine,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
l-tyrosine vs l-dopa,l-tyrosine,comparison,Comparison,Low,9,own-harvest-2026-07-05,"Small-blog/brand-blog SERP, no major authority present (validated pattern across 3 pairs)"
how long does it take for l theanine to work,l-theanine,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
ashwagandha dosage,ashwagandha,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
how long does magnesium glycinate take to work,magnesium glycinate,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
how long does rhodiola rosea take to work,rhodiola rosea,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
5 htp dosage for serotonin,5-htp,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
how long does saffron extract take to work,saffron extract,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
how long does vitamin d3 60k take to work,vitamin d3,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
b complex dosage,b complex,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
how long does omega 3 fish oil take to work,omega-3 fish oil,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
how long does a probiotic take to start working,probiotic,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
how long does lemon balm extract take to work,lemon balm,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
glycine dosage,glycine,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
how long does valerian root extract take to work,valerian root,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
how long does passionflower take to work,passionflower,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
silexan lavender dosage,lavender silexan,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
how long does l tryptophan take to work,l-tryptophan,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
high dose taurine for anxiety,taurine,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
dosage of holy basil for anxiety,holy basil,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
how long does l tyrosine take to work for adhd,l-tyrosine,dosage-timeline,Informational,Low,9,own-harvest-2026-07-05,"Brand-blog dominated SERP, quick win (validated: magnesium glycinate anxiety timeline, silexan dosage)"
best ashwagandha for anxiety,ashwagandha,commercial-best,Commercial,Medium,7,own-harvest-2026-07-05,Mixed authority+niche+brand SERP -- winnable with criterion-based comparison table + strong E-E-A-T
best magnesium glycinate for anxiety,magnesium glycinate,commercial-best,Commercial,Medium,7,own-harvest-2026-07-05,Mixed authority+niche+brand SERP -- winnable with criterion-based comparison table + strong E-E-A-T
best 5 htp for anxiety,5-htp,commercial-best,Commercial,Medium,7,own-harvest-2026-07-05,Mixed authority+niche+brand SERP -- winnable with criterion-based comparison table + strong E-E-A-T
best b complex for anxiety,b complex,commercial-best,Commercial,Medium,7,own-harvest-2026-07-05,Mixed authority+niche+brand SERP -- winnable with criterion-based comparison table + strong E-E-A-T
best probiotic for anxiety and depression,probiotic,commercial-best,Commercial,Medium,7,own-harvest-2026-07-05,Mixed authority+niche+brand SERP -- winnable with criterion-based comparison table + strong E-E-A-T
best lemon balm for anxiety,lemon balm,commercial-best,Commercial,Medium,7,own-harvest-2026-07-05,Mixed authority+niche+brand SERP -- winnable with criterion-based comparison table + strong E-E-A-T
best brand of valerian root for sleep,valerian root,commercial-best,Commercial,Medium,7,own-harvest-2026-07-05,Mixed authority+niche+brand SERP -- winnable with criterion-based comparison table + strong E-E-A-T
can you take l-theanine with lexapro,l-theanine,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take ashwagandha with lexapro,ashwagandha,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take ashwagandha with sertraline,ashwagandha,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take rhodiola rosea with sertraline,rhodiola rosea,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
5-htp vs sertraline,5-htp,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
5-htp vs ssri,5-htp,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take saffron extract with lexapro,saffron extract,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take saffron extract with sertraline,saffron extract,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take saffron extract with ssri,saffron extract,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take probiotics and antibiotics at the same time,probiotic,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take probiotics with antibiotics,probiotic,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
probiotic vs antibiotic,probiotic,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take lemon balm with zoloft,lemon balm,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take valerian root with sertraline,valerian root,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take passionflower with lexapro,passionflower,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take passionflower with sertraline,passionflower,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take l tryptophan with sertraline,l-tryptophan,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take l-tyrosine with lexapro,l-tyrosine,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
can you take l-tyrosine with sertraline,l-tyrosine,interaction,Informational,Med-High,6,own-harvest-2026-07-05,Authority sites (GoodRx/Drugs.com/patient.info/Harvard) own common OTC-interaction SERPs; needs strong citations + YMYL disclaimer to compete
best l theanine for focus,l-theanine,commercial-best,Commercial,High,4,own-harvest-2026-07-05,"Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only"
best brand for rhodiola rosea,rhodiola rosea,commercial-best,Commercial,High,4,own-harvest-2026-07-05,"Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only"
best brand for saffron extract,saffron extract,commercial-best,Commercial,High,4,own-harvest-2026-07-05,"Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only"
best vitamin d3 for absorption,vitamin d3,commercial-best,Commercial,High,4,own-harvest-2026-07-05,"Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only"
best omega 3 fish oil for cholesterol,omega-3 fish oil,commercial-best,Commercial,High,4,own-harvest-2026-07-05,"Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only"
best foods for glycine,glycine,commercial-best,Commercial,High,4,own-harvest-2026-07-05,"Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only"
best form of passionflower,passionflower,commercial-best,Commercial,High,4,own-harvest-2026-07-05,"Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only"
best brand for l tryptophan,l-tryptophan,commercial-best,Commercial,High,4,own-harvest-2026-07-05,"Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only"
best taurine for women,taurine,commercial-best,Commercial,High,4,own-harvest-2026-07-05,"Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only"
best form of holy basil,holy basil,commercial-best,Commercial,High,4,own-harvest-2026-07-05,"Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only"
best brand for l tyrosine,l-tyrosine,commercial-best,Commercial,High,4,own-harvest-2026-07-05,"Head term, dominated by NIH/US News/Fortune/major media -- slow-burn pillar only"
